Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
MATTAHUNT,Municipal ,K-12 School,100 Hebron St.,02126," 171,035 ",84,66,,"K-12 School, Swimming Pool",1977, 852.0 ,5.0," 14,372,527.5 ",19.1%,80.9%,,,,,,1802340000,"2016, 2017, "
TAYLOR,Municipal ,K-12 School,1060 Morton St.,02126," 51,389 ",45.4,97,,K-12 School,1931, 141.8 ,2.8," 2,334,237.1 ",23.6%,76.4%,,,,,,1703440000,"2016, 2017, "
EEC MATTAPAN,Municipal ,K-12 School,108 Babson St.,02126," 36,820 ",72.6,67,,K-12 School,1998, 173.6 ,4.7," 2,672,452.0 ",36.6%,63.4%,,,,,,1800513000,"2016, 2017, "
Mattapan Branch,Municipal ,Library,1350 Blue Hill Ave,02126," 21,000 ",145.7,Not Available,,Library,2000, 197.3 ,9.4," 3,060,696.2 ",35.1%,64.9%,,5.2,,,,1800918010,"2016, 2017, "
WBH,Yes,Multifamily Housing,1439+1443 BLUE HILL AVE,02126," 29,416 ",46.1,100,,Multifamily Housing,1930, 72.0 ,2.4," 1,356,327.5 ",,100.0%,,70.0,,,,1803025000,"2017, "
Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126," 287,748 ",68.7,98,,"Multifamily Housing, Parking",1968," 1,477.5 ",5.1," 19,769,059.0 ",4.7%,,,62.1,,"This property includes 347 apartments with 12 buildings & 1 office.
15 Bismarck St.
2 Bismarck St.
4 Bismarck St.
6 Bismarck St.
785 Cummins Hwhy
795 Cummins Hwhy
20 Fairlawn Ave.
30-32 Fairlawn Ave
40 Fairlawn Ave
50 Fairlawn Ave
60 - 62 Fairlawn Ave
70 Fairlawn Ave
80 Fairlawn Ave",,1801980000,"2015, 2016, 2017, "
CHITTICK,Municipal ,K-12 School,154 Ruskindale Rd.,02126," 48,697 ",47.4,98,,K-12 School,1931, 135.9 ,2.8," 2,310,503.1 ",17.7%,82.3%,,6.8,,,,1803703000,"2016, 2017, "
1618 Blue Hill Avenue,Yes,Retail Store,1618-1634 Blue Hill Avenue,02126," 20,701 ",5.8,Not Available,,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc.)",1935, 10.2 ,0.5," 119,689.5 ",100.0%,,,35.6,,,,1801024000,"2017, "
Lewenberg,Municipal ,K-12 School,20 Outlook Rd.,02126," 120,944 ",47.3,94,,K-12 School,1930, 347.0 ,2.9," 5,718,320.1 ",23.4%,76.6%,,,,,,1405014000,"2016, 2017, "
Stress Unit,Yes,Police Station,249 River St,02126," 3,115 ",70.7,Not Available,,Police Station,2000, 13.4 ,4.3," 220,134.0 ",23.4%,76.6%,,,,,,1800113100,"2016, 2017, "
Trinity Foley,Yes,Multifamily Housing,249 River Street,02126," 125,000 ",80.9,1,,Multifamily Housing,1900, 741.7 ,5.9," 10,107,165.5 ",62.7%,37.3%,,,,,,1800113100,"2016, 2017, "
Orlando Waldec,Voluntary,Multifamily Housing,25 Orlando St,02126," 47,028 ",48.5,64,,"Multifamily Housing, Parking",1915, 169.6 ,3.6," 2,280,107.6 ",65.8%,34.2%,,69.5,,,,1701145000; 1701146000; 1701147000; 1701148000; 1701149000; 1701150000; 1802200000; 1802203000; 1802205000; 1802206000,"2017, "
Mount Hope Cemetery Administration Building,Municipal ,Office,355 Walk Hill St,02126," 2,400 ",25.3,Not Available,,Office,2000, 5.2 ,2.2," 60,698.3 ",100.0%,,,80.6,,,,1806135000,"2016, 2017, "
Mount Hope Cemetery Maintenance Building,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",355 Walk Hill St,02126," 7,700 ",7.3,Not Available,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000, 3.8 ,0.6," 45,000.0 ",100.0%,,,,,,,1806135000,"2016, 2017, "
Olmsted Green Phase 3,Yes,Multifamily Housing,39 Sandpiper Lane,02126," 49,627 ",41.6,100,,"Multifamily Housing, Parking",2012, 121.2 ,2.4," 2,064,627.7 ",17.2%,82.8%,,50.5,,,,1405196980,"2015, 2016, 2017, "
Schoolhouse at Lower Mills,Yes,Multifamily Housing,40 River Street,02126," 53,065 ",8.4,Not Available,,"Multifamily Housing, Parking",2008, 38.1 ,0.7," 445,470.7 ",100.0%,,,45.8,,Reporting was complete by both management utility logs and utility provider  ,,1704048010,"2015, 2016, 2017, "
Adams Court - A,Yes,Multifamily Housing,415 River Street,02126," 29,920 ",39.5,100,,"Multifamily Housing, Parking",1965, 63.8 ,2.1," 1,183,335.3 ",2.6%,97.4%,,45.8,,,,1801010000,"2015, 2016, 2017, "
Adams Court - B,Yes,Multifamily Housing,435 River St,02126," 15,936 ",50,Not Available,,"Multifamily Housing, Parking",1963, 43.6 ,2.7," 797,171.3 ",4.9%,95.1%,,162.5,,,,1801012001,"2017, "
The Dorchester: Dorchester- Deering Rd.,Yes,Multifamily Housing,51 Deering Road,02126," 33,324 ",94.6,28,,Multifamily Housing,1969, 186.0 ,5.6," 3,152,393.7 ",18.2%,81.8%,,53.3,,Built in 1920,,1404715000,"2017, "
Mattapan Center for Life: 555 River Street,Yes,Multifamily Housing,555 River Street,02126," 52,970 ",58.3,56,,Multifamily Housing,1996, 190.9 ,3.6," 3,087,155.7 ",27.0%,73.0%,,36.2,,Bedroom count is accurate - each unit has one bedroom so # units  = # bedrooms,,1801691020,"2017, "
Gallivan Community Center,Municipal ,Social/Meeting Hall,61 Woodruff Way,02126," 10,400 ",90.8,Not Available,,Other - Recreation,2000, 58.3 ,5.6," 944,029.0 ",26.6%,73.4%,,,,,,1800113500,"2016, 2017, "
MPDC - Brookledge Cummins: 610 Cummins Hwy,Yes,Multifamily Housing,610 Cummins Hwy,02126," 26,000 ",81.1,49,,Multifamily Housing,2008, 133.8 ,5.1," 2,109,470.8 ",31.9%,68.1%,,53.8,,,,1802473000,"2017, "
Morton VillageLC,Yes,Multifamily Housing,65 Morton Village Dr,02126," 366,000 ",9.3,100,,Multifamily Housing,1962, 290.0 ,0.8," 3,393,490.0 ",100.0%,,,,,,,1800768001,"2017, "
Wood Mullen Shelter,Municipal ,Residence Hall/Dormitory,784 Massachusetts Ave,02126, 100 ,Not Available,Not Available,,Residence Hall/Dormitory,2000, Not Available ,Not Available, Not Available ,,,,,,,,801067010,"2016, 2017, "
27016-Mattapan(Hydepk)/River St,Yes,Non-Refrigerated Warehouse,800 River Street,02126," 50,700 ",25.5,87,,Non-Refrigerated Warehouse,2000, 79.9 ,1.6," 1,292,681.2 ",27.0%,73.0%,,0.5,,,,1804365000,"2014, 2015, 2016, 2017, "
820 Cummins Hwy,Municipal ,Non-Refrigerated Warehouse,820 Cummins Hwy,02126," 49,458 ",Not Available,Not Available,,Other,2000, Not Available ,Not Available, Not Available ,,,,0.0,,,,1801058000,"2016, 2017, "
Riverway Plaza,Yes,Strip Mall,84-100 River St,02126," 62,000 ",6,Not Available,,"Parking, Strip Mall",1980, 31.4 ,0.5," 371,254.9 ",97.2%,2.8%,,19.2,,,,1704030000,"2014, 2015, 2016, 2017, "
10-50 Old Colony Ave.,Yes,Mixed Use Property,10-50 Old Colony Ave.,02127," 75,000 ",Not Available,Not Available,,Office,1924, Not Available ,Not Available, Not Available ,,,,7.5,,,,0600324000,"2014, 2016, 2017, "
11 Elkins,Yes,Office,11 Elkins Street,02127," 55,000 ",21.9,99,,Office,1900, 90.5 ,1.6," 1,205,964.2 ",93.2%,6.8%,,3.7,,,,0603405060,"2014, 2015, 2016, 2017, "
Eleven West,Yes,Multifamily Housing,11 West Broadway,02127," 108,163 ",14.4,100,,"Multifamily Housing, Other - Restaurant/Bar, Parking",2013, 100.0 ,0.9," 1,561,925.0 ",33.7%,66.3%,,23.3,,Property has an average monthly occupancy of 90% for 2015,,0600055010 060006100,"2015, 2016, 2017, "
110 K Street,Yes,Office,110 K Street,02127," 40,000 ",112.2,59,,Office,1900, 269.1 ,6.7," 4,488,874.1 ",29.0%,71.0%,,4.8,,,,0603405060,"2014, 2015, 2016, 2017, "
Curley Community Center,Municipal ,Social/Meeting Hall,1163 Columbia Rd,02127," 47,520 ",194.7,Not Available,,Other - Recreation,2000, 552.4 ,11.6," 9,252,244.5 ",20.4%,79.6%,,,,,,702442000,"2016, 2017, "
South Boston Elderly,Yes,Multifamily Housing,120 H Street,02127," 51,000 ",2897.8,1,,Multifamily Housing,1985," 3,958.6 ",155.2," 73,893,866.3 ",1.4%,98.6%,,31.1,,,,0602147000,"2015, 2016, 2017, "
Farragut Road Condominium,Yes,Multifamily Housing,125 Farragut Road,02127," 46,807 ",132.8,46,,Multifamily Housing,1968, 396.0 ,8.5," 6,215,967.4 ",5.3%,52.6%,,37.4,,,,604434000,"2017, "
Marian Manor Nursing Home,Yes,Senior Care Community,130 Dorchester Street,02127," 201,858 ",126.8,30,,Senior Care Community,1964," 1,556.7 ",7.7," 25,595,318.1 ",23.8%,76.2%,,28.8,,,,701064001,"2015, 2016, 2017, "
Waterview - 1350 Columbia Rd,Yes,Multifamily Housing,1350 Columbia Rd,02127," 41,739 ",60.1,80,,Multifamily Housing,1975, 155.5 ,3.7," 2,510,015.4 ",27.4%,72.6%,,43.2,,,,701436000,"2017, "
Compass on the Bay,Yes,Senior Care Community,1380 Columbia Road,02127," 28,725 ",94.9,86,,Senior Care Community,1963, 175.9 ,6.1," 2,727,087.2 ",35.2%,64.8%,,72.2,,,,701435000,"2017, "
15 Elkins,Yes,Office,15 Elkins Street,02127," 36,000 ",92.9,60,,Office,1900, 209.6 ,5.8," 3,344,927.6 ",40.6%,59.4%,,4.8,,,,0603405060,"2014, 2015, 2016, 2017, "
Tudor Place Condominium,Yes,Multifamily Housing,157 W. 6th St.,02127," 60,000 ",42.2,96,,Multifamily Housing,1989, 167.7 ,2.8," 2,534,003.3 ",40.4%,59.6%,,38.7,,Gross floor area was estimated using the total rentable area plus common areas.,,600685010,"2015, 2016, 2017, "
2 Alger Street,Yes,Non-Refrigerated Warehouse,2 Alger Street,02127," 42,800 ",63.6,32,,Non-Refrigerated Warehouse,1975, 180.2 ,4.2," 2,721,812.7 ",40.5%,59.5%,,0.6,,,,700027001,"2017, "
Transorg LP c/o KeyPoint Partners LLC,Yes,Other,21 Powerhouse Street,02127," 60,000 ",127.2,Not Available,,Other,1981, 620.1 ,10.4," 7,615,267.6 ",64.2%,,,40.5,,"The water meter was changed out on October 24th, 2013. ",,0603405100,"2014, 2015, 2016, 2017, "
GAVIN,Municipal ,K-12 School,215 Dorchester,02127," 108,387 ",44.2,97,,K-12 School,1936, 287.1 ,2.6," 4,785,825.6 ",21.3%,78.7%,,,,,,700774000,"2016, 2017, "
22 Elkins,Yes,Office,22 Elkins Street,02127," 26,215 ",133.3,57,,Office,1900, 197.9 ,7.5," 3,494,380.8 ",14.9%,85.1%,,5.8,,,,0603405060,"2014, 2015, 2016, 2017, "
CONDON,Municipal ,K-12 School,220 D St.,02127," 140,426 ",101.1,40,,"K-12 School, Swimming Pool",1975, 865.5 ,6.2," 14,199,869.9 ",24.2%,75.8%,,,,,,600312000,"2016, 2017, "
22-26 West Broadway,Yes,Multifamily Housing,22-26 West Broadway,02127," 40,675 ",122.1,1,,"Multifamily Housing, Parking",2015, 320.2 ,7.9," 4,965,591.4 ",35.2%,64.9%,,,,,,600026000,"2017, "
Castle Cove Co-op,Yes,Multifamily Housing,225 West second street,02127," 32,000 ",Not Available,Not Available,,Multifamily Housing,2000, Not Available ,Not Available, Not Available ,,,,,,,,601507001,"2017, "
25 James O'Neil S,Yes,Multifamily Housing,25 James O'Neil St,02127," 61,678 ",67,62,,Multifamily Housing,2012, 275.5 ,4.5," 4,132,831.5 ",41.9%,58.1%,,58.9,,,,0700540130,"2017, "
Engine 39,Municipal ,Fire Station,272 D Street,02127," 15,640 ",97.5,Not Available,,Fire Station,2000, 96.8 ,6.2," 1,525,395.9 ",32.1%,67.9%,,,,,,601410000,"2016, 2017, "
Station 06 (inactive),Municipal ,Police Station,273 D St,02127," 18,084 ",Not Available,Not Available,,Police Station,2000, Not Available ,Not Available, Not Available ,,,,,,,,601606000,"2016, 2017, "
28 Damrell,Yes,Mixed Use Property,28 Damrell Street,02127," 115,650 ",37,96,,"Manufacturing/Industrial Plant, Office, Parking, Restaurant",1848, 228.7 ,2.6," 3,194,008.8 ",57.2%,42.8%,,3.8,,"We estimated floor use data based off current leases.  There was roughly 16,000 sq ft. vacant during this period.",,0700254000,"2015, 2016, 2017, "
Opioid Treatment Services,Municipal ,Urgent Care/Clinic/Other Outpatient,300 Frontage Road,02127," 3,200 ",Not Available,Not Available,,Urgent Care/Clinic/Other Outpatient,2000, Not Available ,Not Available, Not Available ,,,,,,,,801024036,"2016, 2017, "
West Square,Yes,Multifamily Housing,320 D St,02127," 209,387 ",Not Available,Not Available,,"Multifamily Housing, Parking",2014, Not Available ,Not Available, Not Available ,,,,,,,,601509010,"2017, "
Foundy,Yes,Multifamily Housing,320 W. Second Street,02127," 39,073 ",90.7,15,,Multifamily Housing,1987, 238.9 ,6.1," 3,542,740.9 ",44.3%,55.7%,,34.2,,,,601728000,"2017, "
Westside Crossing,Yes,Multifamily Housing,339 D St,02127," 26,552 ",Not Available,Not Available,,"Multifamily Housing, Parking",2013, -   ,0.0, Not Available ,,,,,,,,601520004,"2017, "
Bold Colony LLC,Yes,Self-Storage Facility,39 Old Colony Avenue,02127," 67,430 ",26.4,Not Available,,Self-Storage Facility,1985, 128.6 ,1.9," 1,777,371.4 ",39.0%,29.5%,,24.8,,,,700276001,"2017, "
Alger Street Realty LLC,Yes,Office,4 Alger Street,02127," 98,882 ",80.8,Not Available,,Other - Services,1947, 545.7 ,5.5," 7,984,784.0 ",47.1%,52.9%,,1.8,,,,0700027000,"2014, 2015, 2016, 2017, "
south boston health center,Yes,Medical Office,409 west broadway,02127," 40,000 ",136.9,12,,Medical Office,1885, 391.8 ,9.8," 5,474,676.3 ",57.1%,42.9%,,8.3,,info taken from monthly bills,,0601141000,"2016, 2017, "
Broadway Real Estate Trust,Yes,Office,423 W Broadway,02127," 53,500 ",3,Not Available,,Office,1901, 13.7 ,0.3," 160,713.2 ",100.0%,,,2.6,,,,601948000,"2017, "
Comcast Building,Yes,Non-Refrigerated Warehouse,426 East First Street,02127," 80,000 ",60.9,Not Available,,"Non-Refrigerated Warehouse, Office, Parking",1930, 344.9 ,4.3," 4,868,280.0 ",54.8%,45.2%,,2.4,,Comcast Warehouse building has substantial accessory office use to run operations.  Office space for Comcast building is estimated.  Building #2 is 100% office and occupied by other tenants.  ,,0602818000,"2014, 2015, 2016, 2017, "
PERKINS,Municipal ,K-12 School,50 Rev. Burke St.,02127," 28,407 ",60.8,93,,K-12 School,1926, 103.0 ,3.6," 1,726,378.0 ",20.3%,79.7%,,,,,,700540000,"2016, 2017, "
50 West Broadway,Yes,Multifamily Housing,50 West Broadway,02127," 200,755 ",38.4,96,2015,"Multifamily Housing, Parking",2008, 506.7 ,2.5," 7,714,644.8 ",53.3%,46.7%,,17.3,,,,0600022010,"2015, 2016, 2017, "
The Distillery,Yes,Mixed Use Property,516 East Second Street #43,02127," 110,000 ",10.3,Not Available,,Other,1819, 96.4 ,0.9," 1,128,065.2 ",100.0%,,,9.4,,,,603068000,"2017, "
568 E. 1st,Yes,Non-Refrigerated Warehouse,568 E. 1st Street,02127," 13,403 ",32.7,15,,Non-Refrigerated Warehouse,1900, 33.6 ,2.5," 438,536.1 ",99.6%,0.4%,,5.3,,,,0603405060,"2014, 2015, 2016, 2017, "
"Greyhound Maintenance Shop, Boston MA",Yes,Other - Services,571 East First Street,02127," 40,687 ",263.8,Not Available,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1920, 620.3 ,15.2," 10,731,964.3 ",19.9%,80.1%,,29.7,,"Energy and water data entered manually from utility provided bills (obtained online CASS). Location is required to submit monthly energy data, by May 15th each year. Size of building provided by FGA; year built, employees, schedule, PCs, occupancy provided by Chris Dalton 8/17/2017.
Electricity - Eversource: account 28679740010
Nat. Gas - National Grid: account 51440-26290
Water - Boston Water: account 3687 24000
",,603422000,"2017, "
King Terminal,Yes,Office,60 K Street,02127," 222,018 ",73.8,Not Available,,Office,1900," 1,049.6 ",4.7," 16,379,049.5 ",36.3%,52.3%,,6.6,,,,0603405060,"2014, 2015, 2016, 2017, "
60 K St,Yes,Office,60 K Street,02127," 40,000 ",78.1,83,,Office,1900, 230.1 ,5.8," 3,122,348.3 ",33.6%,6.3%,,14.1,,,,0603405060,"2014, 2015, 2016, 2017, "
58-70 Old Colony Ave,Yes,Mixed Use Property,60 Old Colony Ave,02127," 39,280 ",Not Available,Not Available,,Other,1930, Not Available ,Not Available, Not Available ,,,,8.6,,,,600368000,"2016, 2017, "
South Boston Branch,Municipal ,Library,646 East Broadway,02127," 10,800 ",67.9,Not Available,,Library,2000, 48.5 ,4.5," 733,729.9 ",40.0%,60.0%,,,,,,603247000,"2016, 2017, "
TYNAN,Municipal ,K-12 School,650 E. Fourth St.,02127," 120,000 ",69.2,75,,K-12 School,1972, 498.3 ,4.2," 8,301,788.0 ",21.4%,78.6%,,,,,,602270000,"2016, 2017, "
Engine 02,Municipal ,Fire Station,700 East Fourth St,02127," 14,040 ",93.3,Not Available,,Fire Station,2000, 79.4 ,5.7," 1,310,067.4 ",23.1%,76.9%,,14.7,,,,602362000,"2016, 2017, "
0053 South Boston,Voluntary,Supermarket/Grocery Store,713 E. Broadway,02127," 18,358 ",307.4,49,,Supermarket/Grocery Store,2005, 413.1 ,22.5," 5,642,679.2 ",62.2%,37.8%,,170.2,,,,602336000,"2014, 2015, 2016, 2017, "
72 K St,Yes,Office,72 K Street,02127," 4,200 ",35.2,Not Available,,Office,1900, 9.5 ,2.3," 147,746.0 ",46.5%,53.5%,,5.4,,,,0603405060,"2014, 2015, 2016, 2017, "
740 East Seventh Street LTD,Yes,Multifamily Housing,740 East Seventh Street,02127," 30,000 ",60.6,100,,Multifamily Housing,1967, 96.7 ,3.2," 1,819,014.4 ",0.2%,99.8%,,31.0,,,,604127000,"2017, "
741 East Sixth Street,Yes,Multifamily Housing,741 East Sixth Street,02127," 33,000 ",36.4,100,,Multifamily Housing,1967, 64.7 ,2.0," 1,199,976.1 ",2.4%,97.6%,,34.0,,,,604127001,"2017, "
PERRY,Municipal ,K-12 School,745 E. Seventh St.,02127," 38,774 ",52.7,97,,K-12 School,1904, 119.7 ,3.1," 2,042,853.4 ",17.0%,83.0%,,,,,,702684000,"2016, 2017, "
745 East Sixth Street,Yes,Multifamily Housing,745 East Sixth Street,02127," 33,000 ",31.8,100,,Multifamily Housing,1967, 55.9 ,1.7," 1,048,545.8 ",0.7%,99.3%,,31.7,,,,604128000,"2017, "
80 K St,Yes,Office,80 K Street,02127," 7,200 ",18.9,100,,Office,1900, 9.2 ,1.3," 136,272.4 ",62.4%,37.6%,,11.7,,,,0603405060,"2014, 2015, 2016, 2017, "
803 Summer Street,Yes,Office,803 Summer Street,02127," 36,000 ",50.6,82,,Office,1986, 142.0 ,3.9," 1,822,067.8 ",76.8%,23.2%,,6.0,,,,0603405050,"2016, 2017, "
880 East Fourth Street,Yes,Multifamily Housing,880 East Fourth Street,02127," 33,000 ",33.3,100,,Multifamily Housing,1967, 60.0 ,1.8," 1,099,741.4 ",4.6%,95.4%,,32.3,,,,604307000,"2017, "
SOUTH BOSTON HS,Municipal ,K-12 School,95 G St.,02127," 160,270 ",51.3,90,,K-12 School,1901, 496.9 ,3.1," 8,225,417.9 ",22.6%,77.4%,,,,,,701079000,"2016, 2017, "
Harbor Patrol,Yes,Police Station,Drydock  /  Summer St,02127," 2,100 ",440.7,Not Available,,Police Station,2000, 37.7 ,37.7," 440,717.5 ",100.0%,,,,,,,602674010,"2016, 2017, "
The Gillette Company,Yes,Manufacturing/Industrial Plant,One Gillette Park,02127," 1,526,083 ",626.1,Not Available,,Manufacturing/Industrial Plant,1905," 50,933.8 ",33.4," 955,453,785.7 ",0.6%,99.4%,,20.7,,"11/10/2014: corrected site information to identify 14 buildings with total area equal to 1,527,083 square feet and oldest built in 1905.",,0601169000,"2014, 2015, 2016, 2017, "
Engine 56,Municipal ,Fire Station,1 Ashley St,02128," 6,844 ",139.7,Not Available,,Fire Station,2000, 57.5 ,8.4," 955,969.1 ",21.8%,78.2%,,17.3,,,,101681000,"2016, 2017, "
East Boston Neighborhood Health Center,Yes,Urgent Care/Clinic/Other Outpatient,10 Gove St,02128," 57,458 ",119.8,Not Available,,Urgent Care/Clinic/Other Outpatient,1978, 513.5 ,8.9," 6,884,183.5 ",66.4%,33.6%,,30.4,,,,105815000,"2014, 2015, 2017, "
Cheverus School,Yes,Senior Care Community,10 Moore Street,02128," 45,216 ",60.9,52,,"Parking, Senior Care Community",1900, 176.9 ,3.9," 2,753,042.3 ",34.4%,65.6%,,31.8,,,,100728000,"2017, "
Hyatt Regency Boston Harbor,Voluntary,Hotel,101 Harborside Drive,02128," 211,000 ",112.9,3,,"Hotel, Parking",1993," 1,742.7 ",8.3," 23,823,996.3 ",62.0%,38.0%,,83.3,,,,104126001,"2017, "
BRADLEY,Municipal ,K-12 School,110 Beachview Rd.,02128," 33,128 ",51.4,96,,K-12 School,1958, 103.8 ,3.1," 1,701,586.7 ",24.4%,75.6%,,,,,,102342000,"2016, 2017, "
Don Orione Home,Yes,Senior Care Community,111 Orient Ave,02128," 100,000 ",1824,Not Available,,Senior Care Community,1950," 11,082.5 ",110.8," 182,399,914.0 ",1.5%,45.1%,,1.0,,,,102101000,"2017, "
Paris Street Community Center,Municipal ,Social/Meeting Hall,112 Paris St,02128," 26,704 ",33.8,Not Available,,Other - Recreation,2000, 51.5 ,1.9," 901,477.3 ",12.5%,87.5%,,0.6,,,,105850000,"2016, 2017, "
Paris Street Pool,Municipal ,Swimming Pool,113 PARIS ST,02128," 24,896 ",143.7,Not Available,,Fitness Center/Health Club/Gym,2000, 211.8 ,8.5," 3,576,820.4 ",18.9%,81.1%,,19.1,,,,105745000,"2016, 2017, "
New England Casket Co Inc,Yes,Manufacturing/Industrial Plant,1141 Bennington Street,02128," 70,000 ",39.4,Not Available,,Manufacturing/Industrial Plant,1954, 235.5 ,3.4," 2,755,764.8 ",100.0%,,,4.3,,,,101399000,"2015, 2016, 2017, "
Maverick Landing II,Yes,Multifamily Housing,115 Sumner Street,02128," 50,000 ",113.5,4,,Multifamily Housing,1900, 355.1 ,7.1," 5,676,661.2 ",29.2%,70.8%,,57.1,,,,0105402010,"2015, 2016, 2017, "
MCKAY,Municipal ,K-12 School,122 Cottage St.,02128," 79,082 ",37.2,97,,K-12 School,1926, 191.4 ,2.4," 2,942,915.1 ",36.9%,63.1%,,,,,,103989000,"2016, 2017, "
Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,02128," 141,016 ",41.8,89,,"Parking, Residence Hall/Dormitory",1900, 396.0 ,2.8," 5,901,066.6 ",43.3%,56.7%,,12.2,,,,0105980000,"2015, 2016, 2017, "
EEC EAST BOSTON,Municipal ,K-12 School,135 Gove St.,02128," 36,400 ",66.6,73,,K-12 School,1998, 159.0 ,4.4," 2,423,469.8 ",38.6%,61.4%,,,,,,103989000,"2016, 2017, "
East Boston Stadium,Municipal ,Other - Stadium,143 Porter St,02128," 112,500 ",7.8,Not Available,,Other,2000, 75.1 ,0.7," 879,362.0 ",100.0%,,,,,,,104164006,"2016, 2017, "
175 McClellan HWY,Yes,Mixed Use Property,144 Addison St,02128," 405,215 ",34.5,Not Available,,"Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",1910, 973.1 ,2.4," 13,986,779.0 ",50.9%,49.1%,,4.7,,"a)No default energy values were used. 
b) There is an estimation on the ""Warehouse Vacancy"" because of an area that could also be considered a hallway. Difference is ~ 236 sf.
c) Data was collected from NSTAR, National Grid, and a compilation of our water usage from the Boston Water and Sewer Commission.

",,00548-100,"2014, 2015, 2016, 2017, "
589,Yes,Self-Storage Facility,150 William F. McClellan Highway,02128," 108,405 ",10.4,Not Available,,Self-Storage Facility,2000, 96.4 ,0.9," 1,127,867.3 ",100.0%,,,,,,,100437000,"2017, "
The Porter Condominium Trust,Yes,Multifamily Housing,156 Porter Street,02128," 165,000 ",32.3,84,,Multifamily Housing,2005, 434.6 ,2.6," 5,333,274.4 ",87.7%,12.3%,,44.1,,,,0104164010,"2016, 2017, "
ADAMS,Municipal ,K-12 School,165 Webster St.,02128," 41,336 ",45.8,99,,K-12 School,1910, 110.5 ,2.7," 1,892,899.1 ",16.2%,83.8%,,,,,,104558000,"2016, 2017, "
Greenway Apartments,Yes,Multifamily Housing,170 Maverick Street,02128," 38,370 ",6.6,100,,"Multifamily Housing, Parking",2012, 21.5 ,0.6," 251,396.2 ",100.0%,,,66.2,,,,103916000,"2017, "
Orient Heights Branch,Municipal ,Library,18 Barnes Ave,02128," 10,000 ",14.7,Not Available,,Library,2000, 8.7 ,0.9," 146,542.6 ",19.4%,80.6%,,,,,,104382000,"2016, 2017, "
EBNHC - Maverick,Yes,Urgent Care/Clinic/Other Outpatient,20 Maverick Square,02128," 47,777 ",111.4,Not Available,,Urgent Care/Clinic/Other Outpatient,2012, 378.3 ,7.9," 5,324,152.8 ",55.5%,44.5%,,17.5,,,,105658010,"2017, "
Embassy Suites Boston Logan Airport,Yes,Hotel,207 Porter Street,02128," 488,000 ",45.5,97,,"Hotel, Parking, Swimming Pool",2003," 1,498.0 ",3.1," 22,180,861.4 ",44.6%,55.4%,,13.8,,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,,104102000,"2016, 2017, "
OTIS,Municipal ,K-12 School,218 Marion St.,02128," 35,100 ",46.4,98,,K-12 School,1905, 98.3 ,2.8," 1,628,827.8 ",22.3%,77.7%,,,,,,106426000,"2016, 2017, "
Courtyard Marriott Logan Airport,Yes,Hotel,225 McCllean Highway,02128," 186,000 ",Not Available,Not Available,,"Hotel, Swimming Pool",1972, -   ,0.0, Not Available ,,,,,,,,100549001,"2017, "
Lewis Mall Apartments,Yes,Multifamily Housing,225 Sumner Street,02128," 37,620 ",74.3,Not Available,,"Parking, Residential Care Facility",1996, 189.4 ,5.0," 2,793,688.5 ",45.4%,54.6%,,37.8,,,,105398005,"2017, "
Engine 09,Municipal ,Fire Station,239 Sumner St,02128," 18,836 ",130,Not Available,,Fire Station,2000, 153.7 ,8.2," 2,448,539.6 ",29.9%,70.1%,,6.6,,,,105382000,"2016, 2017, "
East Boston Branch,Municipal ,Library,276 Meridian St,02128," 19,982 ",8.7,Not Available,,Library,2000, 5.8 ,0.6," 84,368.7 ",50.0%,50.0%,,,,,,105935000,"2016, 2017, "
Lyman School,Yes,Multifamily Housing,30 Gove Street,02128," 55,000 ",6.2,100,,Multifamily Housing,1878, 28.5 ,0.5," 340,342.2 ",94.5%,5.5%,,33.4,,,,105744000,"2017, "
UMANA,Municipal ,K-12 School,312 Border St.,02128," 169,000 ",112.4,69,,"K-12 School, Swimming Pool",1975," 1,009.5 ",6.0," 18,993,610.0 ",0.1%,99.9%,,,,,,103668000,"2016, 2017, "
O'DONNELL,Municipal ,K-12 School,33 Trenton St.,02128," 24,648 ",42.1,99,,K-12 School,1932, 64.5 ,2.6," 1,038,318.0 ",27.9%,72.1%,,,,,,102615000,"2016, 2017, "
